stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
113,,Kpt. Nálepku  *,,48.99263,21.246861,1,,0,,,0,,
115,,"Šafárikova, cintorín  *",,49.004299,21.246401,1,,0,,,0,,
116,,Detská nemocnica,,48.998199,21.25106,1,,0,,,0,,
117,,Fakultná nemocnica,,48.996399,21.252501,1,,0,,,0,,
118,,Dilongova  *,,48.999561,21.24794,1,,0,,,0,,
119,,Sládkovičova  *,,48.997501,21.2484,1,,0,,,0,,
120,,Moyzesova  *,,48.99522,21.250179,1,,0,,,0,,
121,,Lesík delostrelcov  *,,48.992451,21.24963,1,,0,,,0,,
122,,Plachty  *,,49.026772,21.257971,1,,0,,,0,,
123,,Za Kútami  *,,49.0257,21.25322,1,,0,,,0,,
124,,Surdok,,49.034451,21.258209,1,,0,,,0,,
126,,"Sabinovská, futbal aréna",,49.006592,21.238291,1,,0,,,0,,
127,,Mičurinova  *,,49.011719,21.236931,1,,0,,,0,,
128,,Pod Skalkou  *,,49.015499,21.236589,1,,0,,,0,,
129,,Rázc.Šidlovec  *,,49.020531,21.23595,1,,0,,,0,,
130,,Dúbrava  *,,49.02491,21.232121,1,,0,,,0,,
133,,Pivovar  *,,49.0434,21.20892,2,,0,,,0,,
134,,Staničná  *,,49.042011,21.203871,2,,0,,,0,,
135,,Medulienka   *,,49.039249,21.19939,2,,0,,,0,,
136,,Varoš  *,,49.039959,21.19083,2,,0,,,0,,
137,,Veľký Šariš,,49.04208,21.188829,2,,0,,,0,,
138,,Tulčícka  *,,49.03421,21.194521,2,,0,,,0,,
139,,Rázcestie Kanaš  *,,49.043819,21.211,2,,0,,,0,,
140,,Kozí rožok  *,,49.047779,21.22411,2,,0,,,0,,
141,,Husí hrb  *,,49.05304,21.232189,2,,0,,,0,,
142,,Pri kostole  *,,49.056801,21.232559,2,,0,,,0,,
143,,Medzi jarkami  *,,49.05827,21.23044,2,,0,,,0,,
144,,Stará škola  *,,49.061241,21.22814,2,,0,,,0,,
145,,Kanaš-Stráže,,49.065868,21.230261,2,,0,,,0,,
146,,Jánošíkova  *,,49.024799,21.237659,1,,0,,,0,,
147,,Severná,,49.024181,21.33679,2,,0,,,0,,
149,,Jahodová  *,,49.032082,21.242729,1,,0,,,0,,
150,,Šidlovec  *,,49.032879,21.24811,1,,0,,,0,,
151,,Futbal Tatran aréna  *,,49.006229,21.237101,1,,0,,,0,,
152,,Jazdecká  *,,49.00951,21.2332,1,,0,,,0,,
153,,Mukačevská  *,,49.011311,21.22447,1,,0,,,0,,
155,,Nám.sv.Jakuba  *,,49.039211,21.194071,2,,0,,,0,,
156,,Poliklinika,,49.000771,21.23315,1,,0,,,0,,
157,,Levočská,,49.001041,21.22307,1,,0,,,0,,
158,,Mýto  *,,49.002399,21.21357,1,,0,,,0,,
159,,Rázc.Cemjata  *,,48.999142,21.204929,1,,0,,,0,,
160,,Telekča  *,,49.001839,21.191481,2,,0,,,0,,
161,,Rázc.Malý Šariš  *,,49.005951,21.179871,2,,0,,,0,,
162,,OcÚ Malý Šariš  *,,49.007999,21.179411,2,,0,,,0,,
163,,Nákupné stredisko  *,,49.009769,21.182249,2,,0,,,0,,
164,,Šľachtiteľská stanica  *,,49.012402,21.18574,2,,0,,,0,,
165,,Malý Šariš,,49.014832,21.18655,2,,0,,,0,,
167,,Vydumanec  *,,48.992809,21.197969,1,,0,,,0,,
168,,Kvašná voda  *,,48.990162,21.191771,1,,0,,,0,,
169,,Zabíjaná  *,,48.98991,21.17915,1,,0,,,0,,
170,,Školské lesy  *,,48.987511,21.176161,1,,0,,,0,,
171,,Cemjata  *,,48.983509,21.17503,1,,0,,,0,,
172,,OcÚ Bzenov  *,,48.948479,21.16473,2,,0,,,0,,
173,,Rázcestie Janov  *,,48.946751,21.16914,2,,0,,,0,,
174,,Bzenov,,48.955139,21.171341,2,,0,,,0,,
175,,Plzenská *,,48.991199,21.248699,1,,0,,,0,,
176,,Októbrová  *,,48.997101,21.22286,1,,0,,,0,,
177,,Centrál  *,,48.998112,21.227079,1,,0,,,0,,
178,,Marka Čulena  *,,48.99942,21.220711,1,,0,,,0,,
179,,Odborárska  *,,48.99662,21.222179,1,,0,,,0,,
180,,Sázavského  *,,48.994362,21.223511,1,,0,,,0,,
181,,Kollárova  *,,48.992451,21.22455,1,,0,,,0,,
182,,SOŠ lesnícka  *,,48.992889,21.229191,1,,0,,,0,,
183,,Ostrovček  *,,48.993912,21.23011,1,,0,,,0,,
184,,Gym.sv.Moniky  *,,48.995152,21.23526,1,,0,,,0,,
185,,Kúpeľná  *,,48.991779,21.23839,1,,0,,,0,,
186,,Pavlovičovo nám.  *,,48.99025,21.24081,1,,0,,,0,,
187,,Clementisova,,49.001659,21.22439,1,,0,,,0,,
188,,Volgogradská,,49.00423,21.221029,1,,0,,,0,,
189,,Nám.Kráľ.pokoja,,49.006672,21.2215,1,,0,,,0,,
190,,VUKOV,,49.010559,21.22221,1,,0,,,0,,
191,,Centrum,,49.017071,21.22348,1,,0,,,0,,
192,,Prostějovská,,49.020939,21.224831,1,,0,,,0,,
194,,Bajkalská,,49.023708,21.22983,1,,0,,,0,,
195,,Obrancov mieru,,48.997181,21.228291,1,,0,,,0,,
196,,Herlianska  *,,49.019249,21.29348,1,,0,,,0,,
198,,Duchnovičovo nám.,,48.993752,21.232491,1,,0,,,0,,
199,,Prešovská univerzita,,48.990398,21.235411,1,,0,,,0,,
200,,Rázcestie Rúrky  *,,49.003479,21.216221,1,,0,,,0,,
201,,Jána Bereša  *,,49.005192,21.21452,1,,0,,,0,,
202,,Na Rúrkach,,49.007702,21.2117,1,,0,,,0,,
203,,Chatky  *,,48.976749,21.17152,1,,0,,,0,,
204,,Rusínska  *,,48.991379,21.260719,1,,0,,,0,,
205,,Sibírska,,49.000839,21.27199,1,,0,,,0,,
206,,Karpatská,,48.99725,21.26997,1,,0,,,0,,
207,,Jurkovičova,,48.994389,21.26829,1,,0,,,0,,
208,,Nižné lúky  *,,48.99305,21.258619,1,,0,,,0,,
209,,Pod Táborom  *,,48.991371,21.25153,1,,0,,,0,,
